danmaku_id,content,progress,ctime,user_hash
1778456806831194624,我动静结合,172.608,1739099772,8ec2372d
1778457594252797696,物来顺应，未来不期，当时不杂，既过不恋,0.669,1739099866,7f2c276c
1778458665344063488,啊，这是24年11月的我，还好我自己想明白了,95.614,1739099993,7f2c276c
1778468206538339072,好家伙 我都焦虑退休工资低了开始,36.987,1739101131,d2e5c1be
1778469877221338880,学习了,218.939,1739101330,f22f249c
1778479865452964352,前面的，我也焦虑养老工资领不领得到,43.931,1739102521,63643748
1778480943590294272,我也是这种，总想计划好想好所有事,160.271,1739102649,63643748
1778485200842625536,1,187.461,1739103157,97109b50
1778487280831537920,完了，听起来我动态静态焦虑都有,123.082,1739103405,383d9711
1778491301525417472,19年就被这样的心态搞崩溃过，23年才重新慢慢好一点，说白了就是很内耗,35.457,1739103884,5e15eb78
1778505809555306752,思考是对的，但是一旦感觉不舒服或者已经以此逃避开始的时候就要注意了,151.49,1739105614,56b3ce84
1778509840323962368,我是静态到甚至只想，只空想，痛苦但是不去做，恶性循环,175.186,1739106094,e69b1cc3
1778515035103707648,产品外观设计不错,358.576,1739106713,d463de00
1778516055812130560,两年前还在大厂的我就是陷入这种状态主动领了礼包,81.099,1739106835,6001b690
1778516245235876864,我是偏向于静态的,142.965,1739106858,43af46cc
1778542210585843712,这不就是我嘛,300.379,1739109953,ffb99480
1778545860997978368,中年人也会有这种感觉,31.285,1739110388,3acb16b4
1778577495126467328,我也是两种都有,127.407,1739114159,1c7e9326
1778622648973312512,本质是找正确答案的路径依赖,310.24,1739119542,9b41561e
1778625540434705920,INTJ行为模板哈哈哈,168.724,1739119887,3162c3de
1778661148338602752,DoraA梦,353.288,1739124131,a5e0c37f
1778662371548834304,体验人生,278.947,1739124277,9042cc84
1778735980770110976,未雨绸缪。,2.391,1739133052,f7747599
1778759068257722112,其实人不可能完全不焦虑，也不可能完全焦虑，寻找舒服的中间点就好了,136.278,1739135804,877f0e96
1778812282307086848,这些本来就该提前谋划思考啊,131.211,1739142148,c345a568
1778847246302337280,这些焦虑我几乎都有，但我偏静态焦虑,141.788,1739146316,5efa5809
1778853502610137856,1,181.234,1739147062,b3ddd404
1778861121731035648,保持身心健康和愉悦，让生活更好。,285.13,1739147970,7124310f
1778861967093273344,我从小就是，因为家人说未雨绸缪，现在想想心大心宽未尝不是好事,6.14,1739148071,238d7c4
1778894439931577344,想这些没问题，只是不要被压垮而放弃了就背离初衷了,134.837,1739151942,7daa5699
1778897916220557056,看《头脑特工队，》当你焦虑疯了的时候，你的乐乐会翻山越岭地来找你。,143.179,1739152356,5541177a
1778901310075330816,自我拉扯,155.775,1739152761,4fe873f6
1778915899072868864,这期高端广,322.351,1739154500,21036fb1
